institution_id,institution_name,institution_code,institution_type,city,state,tier_classification,establishment_year,nirf_ranking,placement_percentage,average_package,partnership_start_date,partnership_status,default_rate_percentage,contact_person_name,contact_email,contact_phone
1,Bangalore Medical College,INST000001,Medical College,Bangalore,Karnataka,Tier2,2010,550,97.38,659866,05/10/2023,Active,6.27,Ucchal Gera,vaishnavikalla@example.net,4670860965
2,Ahmedabad Medical College,INST000002,Medical College,Ahmedabad,Gujarat,Tier3,2020,959,93.9,280601,12/07/2021,Active,7.83,Caleb Tandon,xwali@example.net,5360064169
3,Mumbai IIIT,INST000003,IIIT,Mumbai,Maharashtra,Tier2,1985,499,89.02,845207,11/11/2024,Active,7.07,Patrick Raman,majumdarnandini@example.org,1816999853
4,NIT Jaipur,INST000004,NIT,Jaipur,Rajasthan,Tier1,1994,205,93.9,586006,13/02/2023,Inactive,5.22,Fiyaz Naidu,krishvig@example.net,4742819561
5,Delhi Medical College,INST000005,Medical College,Delhi,Delhi,Tier1,2018,919,84.87,297538,06/10/2023,Inactive,6.4,Yamini Bera,sunderurishilla@example.org,2502792668
6,Kota Private University,INST000006,Private University,Kota,Rajasthan,Tier1,1950,370,63.27,399196,13/01/2023,Active,5.51,Vyanjana Mital,cbhandari@example.net,9.19E+09
7,IIT Hyderabad,INST000007,IIT,Hyderabad,Telangana,Tier1,2013,732,81.36,838714,17/04/2025,Active,9.34,Neel Doctor,vasatikachander@example.org,6968828618
8,Jaipur Private University,INST000008,Private University,Jaipur,Rajasthan,Tier1,1960,224,90.62,275528,05/07/2024,Active,3.43,Jagrati Gade,jyoti51@example.org,9.16E+11
9,Kota Private University,INST000009,Private University,Kota,Rajasthan,Tier2,1998,427,72.85,612430,15/10/2020,Under Review,2.33,Benjamin Dugar,samarthvarma@example.net,9707237534
10,Kolkata Private Engineering,INST000010,Private Engineering,Kolkata,West Bengal,Tier1,1985,205,78.1,1168574,19/09/2020,Active,5.56,Zayan More,kalpit61@example.org,1838440187
11,Kolkata IIIT,INST000011,IIIT,Kolkata,West Bengal,Tier2,2016,668,100,421889,11/02/2022,Under Review,4.69,Varsha Bhatti,ishani71@example.net,9.17E+11
12,Jaipur IIIT,INST000012,IIIT,Jaipur,Rajasthan,Tier3,1995,349,88.68,653920,09/12/2023,Active,2.4,Falan Bhatnagar,pdani@example.com,9810315116
13,Jaipur Private University,INST000013,Private University,Jaipur,Rajasthan,Tier1,1978,541,100,655696,28/07/2024,Active,5.82,Jagat Mahajan,parthlata@example.com,9.16E+11
14,NIT Bangalore,INST000014,NIT,Bangalore,Karnataka,Tier2,2004,5,86.3,746711,21/02/2025,Active,5.48,Hiral Balan,nakulmemon@example.net,7695414326
15,IIM Bangalore,INST000015,IIM,Bangalore,Karnataka,Tier1,1986,59,79.57,720916,03/12/2023,Active,4.81,Radhika Narayan,dassgopal@example.com,9518749591
16,IIM Pune,INST000016,IIM,Pune,Maharashtra,Tier3,1971,132,58.92,203167,19/02/2023,Inactive,7.24,Michael Wason,sawhneylipika@example.com,4388267593
17,Kota Private University,INST000017,Private University,Kota,Rajasthan,Tier1,1984,673,100,785778,26/08/2022,Active,7.22,Wakeeta Chada,sudiksha85@example.net,3635803465
18,Hyderabad Private University,INST000018,Private University,Hyderabad,Telangana,Tier3,1975,969,88.2,630415,29/05/2023,Active,8,Harini Choudhry,tamannakulkarni@example.net,9.17E+11
19,Chennai IIIT,INST000019,IIIT,Chennai,Tamil Nadu,Tier3,1967,538,100,258220,04/12/2020,Active,2.64,Neel Mani,zjayaraman@example.com,2380848519
20,IIT Chennai,INST000020,IIT,Chennai,Tamil Nadu,Tier3,1966,905,64.56,731637,27/04/2025,Active,5.72,Manya Narasimhan,dharmadhav@example.com,6477732470
